,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
25,flat,chanderlok society,sector 28,0.9,7235.0,4.0,2,3+,1.0,Old Property,1382.0,0,0,0,0,0,2,0,28.4728,77.0865
26,house,independent,sector 4,0.4,8889.0,1.0,1,0,1.0,Moderately Old,450.0,0,0,0,0,0,2,0,28.4738,77.0107
27,house,international city by sobha phase 2,sector 109,5.65,10463.0,4.0,4,3+,2.0,New Property,5400.0,0,1,0,0,1,0,44,28.5073,77.0089
28,flat,emaar digihomes,sector 62,2.15,14257.0,2.0,2,3,31.0,Under Construction,1676.0,0,0,0,0,0,2,101,28.4139,77.0886
29,house,uppal southend,sector 49,4.4,15278.0,6.0,6,3,3.0,Moderately Old,2880.0,1,1,1,1,0,1,110,28.4121,77.048
30,flat,vipul lavanya,sector 81,0.64,5263.0,2.0,2,3,12.0,Relatively New,1361.0,0,0,0,0,0,0,93,28.3867,76.9485
31,flat,m3m heights,sector 65,2.86,13999.0,3.0,3,3,45.0,Under Construction,2267.0,0,1,0,0,0,2,48,28.403,77.069
32,flat,emaar mgf the palm drive,sector 66,3.5,15909.0,3.0,3,3,7.0,Moderately Old,2125.0,0,1,1,0,0,0,149,28.3925,77.0541
33,house,greenopolis,sector 89,0.7,5397.0,2.0,2,2,14.0,New Property,1297.0,0,0,0,0,0,2,0,28.4253,76.9439
34,flat,dlf the skycourt,sector 86,1.54,9222.0,3.0,3,3+,15.0,Relatively New,1780.0,0,1,0,0,0,2,174,28.3986,76.9384
35,house,vipul tatvam villa,sector 48,8.25,38194.0,4.0,4,3+,3.0,Relatively New,2160.0,0,1,1,0,0,0,160,28.4177,77.0359
36,house,international city by sobha phase 1,sector 109,6.1,25103.0,5.0,6,3+,2.0,Moderately Old,2430.0,0,1,0,0,0,2,30,28.5073,77.0089
37,flat,the arzoo cghs,sector 51,2.1,9130.0,4.0,4,3,1.0,Relatively New,2300.0,0,0,0,0,0,2,58,28.432,77.0686
38,flat,corona optus,sector 37c,1.25,7176.0,3.0,3,3,2.0,Relatively New,1563.0,1,0,0,0,0,2,49,28.4515,76.9882
39,flat,lotus homz,sector 111,0.7,10057.0,2.0,2,2,8.0,Relatively New,773.0,0,0,0,0,0,2,68,28.5238,77.032
40,flat,m3m merlin,sector 67,2.8,13679.0,3.0,3,3,5.0,Moderately Old,2047.0,0,1,0,0,0,1,26,28.3859,77.0608
41,house,housing board colony,sector 28,5.5,30556.0,4.0,3,3,2.0,Old Property,1800.0,0,0,0,1,1,0,22,28.4728,77.0865
42,flat,puri diplomatic greens,sector 111,2.58,11727.0,3.0,4,2,10.0,Moderately Old,2200.0,0,1,0,0,0,2,86,28.5238,77.032
43,flat,la vida by tata housing,sector 113,3.0,14286.0,3.0,3,3+,3.0,Relatively New,2460.0,0,1,0,0,0,2,167,28.5287,77.0233
44,house,ganpati heights apartment,sector 13,1.25,12077.0,3.333333333333333,6,2,3.0,Old Property,115.0,0,0,0,0,1,2,7,28.4757,77.0392
45,flat,smart world orchard,sector 61,2.1,13752.0,3.0,2,3,3.0,Under Construction,1534.0,0,0,0,0,0,2,146,28.405,77.0963
46,flat,tata gurgaon gateway,sector 113,2.45,10788.0,3.0,3,3,8.0,Relatively New,2014.0,0,0,0,0,0,2,110,28.5287,77.0233
47,flat,tulip violet,sector 69,1.38,8973.0,3.0,3,1,12.0,Relatively New,1709.0,0,0,0,0,0,2,174,28.3966,77.0341
48,flat,smart world gems,sector 89,1.71,12000.0,3.0,2,0,3.0,New Property,1423.0,0,0,0,0,0,2,45,28.4253,76.9439
49,flat,ireo the corridors,sector 67a,1.85,9531.0,3.0,4,3,4.0,New Property,1941.0,1,0,1,0,0,0,150,28.3802,77.0674
50,flat,signature global the millennia,sector 37d,0.6,9231.0,2.0,2,3,7.0,New Property,625.0,0,0,0,0,0,2,35,28.4478,76.9703
51,flat,vatika the seven lamps,sector 82,0.81,6193.0,2.0,2,2,15.0,Relatively New,1176.0,0,0,0,0,0,0,117,28.3935,76.96
52,flat,tulip monsella,sector 53,5.6,19364.0,3.0,3,3+,1.0,Under Construction,2617.0,0,0,0,0,0,2,42,28.4433,77.0948
53,flat,m3m skywalk,sector 74,1.5,12500.0,2.0,2,3,17.0,Relatively New,1300.0,0,0,1,0,0,2,174,28.4158,77.0118
54,flat,bptp terra,sector 37d,1.45,8007.0,3.0,3,3,9.0,Relatively New,1639.0,0,0,0,0,0,2,107,28.4478,76.9703
55,flat,experion the heartsong,sector 108,1.65,8238.0,3.0,4,3,3.0,Moderately Old,1771.32,1,0,0,0,0,0,75,28.5134,76.983
56,flat,huda housing board society,sector 52,0.45,9740.0,1.0,1,0,0.0,Moderately Old,513.0,0,0,0,1,0,0,43,28.4379,77.0785
57,flat,shri balaji apartment,sector 12,0.35,4037.0,2.0,2,1,1.0,Moderately Old,737.0,0,0,0,0,0,2,23,28.4723,77.032
58,house,independent,sector 43,5.75,23663.0,4.0,4,2,4.0,Under Construction,2430.0,0,1,1,0,0,1,153,28.4629,77.0772
59,flat,ss the leaf,sector 85,1.12,6452.0,2.0,2,3,10.0,Relatively New,1485.0,0,0,0,0,1,2,49,28.4042,76.9513
60,flat,avl 36 gurgaon,sector 36a,0.75,7500.0,2.0,2,2,5.0,Relatively New,856.0,0,0,0,0,0,2,26,28.4147,76.978
61,flat,adani aangan galleria,sector 89,0.25,5000.0,1.0,1,1,6.0,New Property,430.0,0,0,0,0,0,2,74,28.4253,76.9439
62,house,independent,sector 4,0.67,8557.0,3.0,2,1,1.0,Moderately Old,783.0,0,0,0,1,1,2,19,28.4738,77.0107
63,flat,bestech park view residency,sector 2,0.56,8629.0,1.0,1,2,6.0,Moderately Old,723.0,0,0,0,0,0,2,77,28.5095,77.032
64,flat,aipl zen residences,sector 70a,1.75,10258.0,3.0,4,3+,20.0,Relatively New,1706.0,0,0,0,0,1,1,49,28.3845,77.0226
65,house,independent,sector 14,4.15,18444.0,5.0,4,2,2.0,Old Property,2250.0,0,0,0,0,0,0,51,28.4711,77.0454
66,flat,m3m merlin,sector 67,3.4,14419.0,3.0,4,3,17.0,Relatively New,2134.0,0,1,0,0,0,0,174,28.3859,77.0608
67,flat,dlf the ultima,sector 81,2.3,10937.0,3.0,3,3+,19.0,Relatively New,1617.0,1,1,0,1,1,1,49,28.3867,76.9485
68,house,independent,sector 25,7.6,38756.0,2.25,9,3,4.0,Relatively New,1961.0,1,0,1,1,0,0,84,28.4844,77.086
69,flat,rof ananda,sector 95,0.32,5735.0,2.0,2,1,10.0,Relatively New,610.0,0,0,0,1,0,0,50,28.4172,76.9081
70,flat,rof aalayas,sector 102,0.45,6000.0,1.0,1,2,6.0,Relatively New,750.0,0,0,0,0,0,2,0,28.475,76.9715
71,house,independent,sector 56,2.99,20635.0,4.0,4,2,2.0,Moderately Old,1449.0,1,1,0,1,0,0,49,28.4245,77.0991
72,flat,ats tourmaline,sector 109,1.5,6977.0,3.0,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,2,39,28.5073,77.0089
73,house,dlf south city 1,sector 41,2.65,18929.0,3.0,3,3,4.0,New Property,1400.0,0,1,0,0,0,0,22,28.4582,77.0613
74,house,bhim garh kheri,sector 3,1.5,7576.0,7.0,2,0,1.0,Moderately Old,1980.0,0,0,0,0,0,2,0,28.4909,77.0176
75,flat,dlf the skycourt,sector 86,1.5,7895.0,3.0,3,1,16.0,Relatively New,1719.0,0,0,0,0,1,2,49,28.3986,76.9384
76,flat,central park resorts,sector 48,9.3,24926.0,4.0,4,3+,10.0,Moderately Old,3831.0,1,1,1,1,0,0,67,28.4177,77.0359
77,flat,ss the leaf,sector 83,1.19,7225.0,2.0,2,3,4.0,Relatively New,1630.0,0,0,0,0,0,2,49,28.3986,76.9647
78,flat,signature global solera,sector 107,0.5,4762.0,3.0,2,2,5.0,Relatively New,850.0,0,0,0,0,1,2,35,28.5052,76.9729
79,flat,hero homes,sector 104,1.4,15819.0,3.0,2,2,4.0,Under Construction,1120.0,0,0,0,0,0,2,49,28.4788,76.996
80,flat,godrej oasis,sector 88a,1.0,6897.0,2.0,2,3,7.0,Relatively New,1611.0,1,0,0,0,0,2,72,28.4347,76.9557
81,flat,eldeco accolade,sohna road,1.3,7424.0,3.0,3,3+,10.0,Relatively New,1509.0,0,0,0,0,0,2,49,28.4159,77.0274
82,flat,orris carnation residency,sector 85,0.9,6429.0,3.0,3,2,12.0,Relatively New,1402.0,0,0,0,0,0,2,120,28.4042,76.9513
83,house,independent,sector 105,0.5,5556.0,2.0,2,0,1.0,Moderately Old,100.0,0,0,0,0,0,2,0,28.4952,77.0114
84,flat,vatika gurgaon,sector 83,1.15,5808.0,3.0,3,2,3.0,Relatively New,1350.0,1,1,1,1,0,0,165,28.3986,76.9647
85,flat,tulip violet,sector 69,1.36,8619.0,3.0,3,2,12.0,Relatively New,1428.0,0,0,0,1,0,0,49,28.3966,77.0341
86,flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2.0,2,3,0.0,Relatively New,1286.0,0,0,0,0,0,2,80,28.475,76.9715
87,house,independent,sector 55,2.8,18667.0,4.0,4,0,2.0,Old Property,1500.0,0,0,0,0,0,2,0,28.4281,77.11
88,house,unitech espace,sector 50,10.45,32253.0,5.0,7,3+,3.0,Moderately Old,3240.0,1,1,0,1,1,0,153,28.4178,77.0628
89,flat,pivotal devaan,sector 84,0.34,7039.0,2.0,2,1,1.0,Relatively New,537.0,0,0,1,0,0,0,84,28.3979,76.9736
90,flat,pivotal devaan apartments,sector 84,0.39,6500.0,2.0,2,0,5.0,Relatively New,549.0,0,0,0,0,0,2,0,28.3979,76.9736
91,house,independent,sector 4,1.1,11111.0,3.0,4,1,2.0,Moderately Old,990.0,0,0,0,0,0,2,0,28.4738,77.0107
92,flat,gls arawali homes,sohna road,0.35,6076.0,2.0,2,2,12.0,New Property,521.0,0,0,0,0,0,2,42,28.4159,77.0274
93,flat,tarc maceo,sector 91,1.75,11118.0,4.0,3,3+,8.0,Relatively New,2107.0,1,1,1,1,0,2,128,28.4014,76.9225
94,flat,vatika city,sector 49,2.1,10417.0,3.0,3,3,9.0,Moderately Old,1604.25,0,0,0,1,0,0,132,28.4121,77.048
95,flat,central park resorts,sector 48,3.65,15240.0,3.0,3,3+,9.0,Relatively New,2395.0,0,0,0,0,1,0,157,28.4177,77.0359
96,flat,ashiana mulberry,sohna road,0.95,6485.0,2.0,2,3+,3.0,New Property,1175.97,1,0,0,0,0,2,89,28.4159,77.0274
97,flat,tulip violet,sector 69,1.29,8227.0,3.0,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,0,86,28.3966,77.0341
98,house,suncity avenue 76,sector 76,0.75,10067.0,2.0,2,2,11.0,New Property,745.0,0,0,0,0,0,2,40,28.3935,76.9888
99,flat,dlf the primus,sector 82a,1.85,10283.0,3.0,3,3+,2.0,Relatively New,1668.0,0,0,0,0,0,0,44,28.3858,76.9686
100,flat,umang monsoon breeze,sector 78,0.7,5719.0,2.0,2,2,5.0,Moderately Old,1224.0,0,0,0,0,0,2,0,28.3733,76.9729
101,flat,rof ananda,sector 95,0.32,5829.0,2.0,2,1,9.0,Relatively New,610.0,0,0,0,1,0,0,71,28.4172,76.9081
102,flat,the crew bos chs manesar,manesar,0.85,3696.0,3.0,3,2,2.0,Moderately Old,2556.0,0,0,0,0,0,2,44,28.3515,76.9428
103,flat,spaze privvy the address,sector 93,1.25,5700.0,4.0,4,3,16.0,Relatively New,2105.0,0,0,0,0,0,2,0,28.4153,76.9326
104,flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,2.0,2,1,3.0,Relatively New,1000.0,0,0,0,0,0,2,70,28.4644,77.0143
105,flat,chd avenue,sector 71,0.79,6594.0,2.0,2,2,8.0,Relatively New,1084.0,0,0,0,0,1,2,0,28.4104,77.0281
106,house,independent,sector 25,10.0,37037.0,5.0,5,3+,3.0,Moderately Old,9500.0,0,1,0,1,0,1,29,28.4844,77.086
107,flat,park royal apartment,sector 56,1.71,7600.0,3.0,3,3+,5.0,Moderately Old,2251.0,0,1,0,0,0,0,118,28.4245,77.0991
108,flat,mahindra aura,sector 110,1.4,9655.0,3.0,3,3,10.0,Relatively New,1550.0,0,0,0,0,0,0,142,28.5145,77.0197
109,flat,ireo victory valley,sector 67,3.65,13529.0,3.0,4,3+,18.0,Relatively New,2490.0,0,1,0,1,0,0,61,28.3859,77.0608
110,flat,signature global solera,sector 107,0.6,8000.0,3.0,2,2,8.0,Relatively New,750.0,0,0,0,0,0,2,55,28.5052,76.9729
111,flat,tulip violet,sector 69,1.44,9125.0,3.0,3,2,1.0,Relatively New,1381.0,0,0,0,1,0,2,174,28.3966,77.0341
112,flat,m3m capital,sector 113,2.37,11499.0,4.0,4,3+,20.0,Under Construction,2060.0,1,0,0,0,0,2,143,28.5287,77.0233
113,flat,zara aavaas,sector 104,0.2,6645.0,1.0,2,2,3.0,New Property,334.0,0,0,0,0,0,2,67,28.4788,76.996
114,flat,godrej nature plus,sector 33,1.5,10197.0,2.0,2,3+,2.0,Under Construction,1539.0,0,0,0,0,0,2,87,28.442,77.0207
115,flat,m3m capital,sector 113,1.83,13969.0,2.0,2,0,7.0,New Property,1310.0,0,0,0,0,0,2,68,28.5287,77.0233
116,house,independent,sector 4,3.2,14222.0,3.0,3,2,2.0,Old Property,2250.0,0,0,0,0,0,2,13,28.4738,77.0107
117,flat,breez global heights 88a,sector 88a,0.5,8375.0,3.0,2,2,2.0,Under Construction,663.0,0,0,0,0,0,2,15,28.4347,76.9557
118,flat,south city 1 floors,sector 41,3.4,11724.0,4.0,4,3,0.0,Old Property,2900.0,0,0,0,0,0,2,0,28.4582,77.0613
119,flat,adani m2k oyster grande,sector 102,4.55,10000.0,4.0,4,3+,11.0,Relatively New,4630.0,0,0,0,0,0,0,60,28.475,76.9715
120,flat,vatika city,sector 49,1.72,7818.0,3.0,3,2,2.0,Old Property,2444.0,0,0,0,0,0,0,144,28.4121,77.048
121,flat,smart world orchard,sector 61,2.2,13497.0,3.0,3,2,1.0,Under Construction,1778.0,0,0,0,0,0,2,49,28.405,77.0963
122,flat,vatika iris floors,sector 82,0.63,5590.0,2.0,2,3+,2.0,Relatively New,1026.0,1,0,0,0,0,2,110,28.3935,76.96
123,flat,corona optus,sector 37c,1.4,7035.0,3.0,3,3+,4.0,Relatively New,1890.0,0,1,0,0,0,2,149,28.4515,76.9882
124,flat,unitech south park,sector 70,1.13,7001.0,3.0,3,2,1.0,Under Construction,1457.0,0,0,0,0,0,2,46,28.3944,77.0226
125,house,hero homes,sector 104,1.95,21196.0,3.0,5,3+,2.0,Moderately Old,920.0,0,0,0,0,0,2,64,28.4788,76.996
126,flat,shree vardhman victoria,sector 70,1.75,8974.0,3.0,5,0,0.0,Relatively New,1950.0,0,0,0,0,0,2,47,28.3944,77.0226
127,flat,indiabulls centrum park,sector 103,2.45,8522.0,4.0,4,3,11.0,Relatively New,2602.0,1,1,1,1,0,2,38,28.4949,76.9845
128,house,vatika signature villas,sector 82,4.7,21759.0,3.0,3,3+,3.0,New Property,2160.0,0,1,0,0,0,2,33,28.3935,76.96
129,house,independent,sector 28,0.7,8102.0,2.0,2,0,2.0,Old Property,864.0,0,0,0,0,0,2,7,28.4728,77.0865
130,flat,m3m soulitude,sector 89,1.3,8701.0,3.0,3,2,1.0,New Property,1179.0,0,0,0,0,1,2,45,28.4253,76.9439
131,house,international city by sobha phase 2,sector 109,6.5,12037.0,4.0,4,3+,1.0,New Property,5400.0,0,1,0,0,0,0,160,28.5073,77.0089
132,flat,signature global the millennia,sector 37d,0.55,9167.0,2.0,2,3,3.0,New Property,543.0,0,0,0,0,0,2,53,28.4478,76.9703
133,flat,signature global park,sohna road,0.9,8036.0,3.0,2,2,2.0,Under Construction,1014.0,0,0,0,0,0,2,144,28.4159,77.0274
134,flat,m3m woodshire,sector 107,1.15,7497.0,2.0,2,3,0.0,Relatively New,1281.0,1,0,0,0,0,2,29,28.5052,76.9729
135,flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3.0,4,3,6.0,Relatively New,2150.0,0,1,0,0,0,2,68,28.3925,77.0541
136,flat,dlf regal gardens,sector 90,1.78,8036.0,4.0,4,3+,8.0,Relatively New,2000.0,0,0,0,0,0,2,126,28.4085,76.9369
137,flat,sanskriti apartments,sector 43,2.5,13514.0,3.0,2,3,5.0,Old Property,1674.0,1,0,0,0,0,2,0,28.4629,77.0772
138,house,independent,sector 38,3.9,21242.0,6.0,6,3+,3.0,Moderately Old,1836.0,1,1,0,1,0,2,32,28.4347,77.043
139,house,independent,sector 3,0.55,6707.0,2.0,2,1,2.0,Moderately Old,810.0,0,0,0,0,0,2,0,28.4909,77.0176
140,flat,bptp terra,sector 37d,1.67,7622.0,4.0,4,3,11.0,Relatively New,2091.0,0,0,0,0,0,0,149,28.4478,76.9703
141,flat,shree vardhman flora,sector 90,0.65,6792.0,2.0,2,3,9.0,Relatively New,1050.0,1,0,0,0,0,2,67,28.4085,76.9369
142,flat,m3m golfestate,sector 65,5.5,16960.0,3.0,4,3,3.0,Relatively New,2803.0,0,1,0,0,0,2,49,28.403,77.069
143,flat,dlf regal gardens,sector 90,2.05,8999.0,4.0,4,3+,5.0,Relatively New,2005.0,0,0,0,0,0,0,49,28.4085,76.9369
144,house,independent,sector 51,2.25,2778.0,6.0,3,3+,3.0,Relatively New,900.0,0,0,0,0,0,2,54,28.432,77.0686
145,house,unitech uniworld resorts,sector 33,11.0,26667.0,5.0,6,3,3.0,New Property,4125.0,1,1,0,0,0,2,58,28.442,77.0207
146,flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307.0,2.0,2,3,0.0,Relatively New,1238.0,0,0,0,0,1,2,49,28.475,76.9715
147,flat,mapsko mount ville,sector 79,1.65,9091.0,3.0,3,0,12.0,Relatively New,1815.0,0,0,0,0,0,2,0,28.3624,76.9787
148,flat,vatika gurgaon,sector 83,0.98,8167.0,2.0,2,3,5.0,Relatively New,1300.0,0,0,0,0,0,0,96,28.3986,76.9647
149,flat,essel towers,sector 14,2.2,12500.0,3.0,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,2,0,28.4711,77.0454
150,flat,dlf the skycourt,sector 86,1.5,7776.0,3.0,3,1,15.0,Relatively New,1550.0,0,0,0,0,0,2,159,28.3986,76.9384
151,house,satya the hermitage,sector 103,4.35,13501.0,4.0,4,3+,2.0,Relatively New,3222.0,1,1,1,1,0,0,138,28.4949,76.9845
152,flat,tulip violet,sector 69,1.3,8286.0,3.0,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,2,86,28.3966,77.0341
153,flat,chd avenue,sector 71,1.1,6104.0,3.0,4,3,3.0,Moderately Old,1631.0,0,1,0,0,0,2,26,28.4104,77.0281
154,flat,dlf the primus,sector 82a,1.59,10338.0,3.0,3,3+,5.0,Relatively New,1668.0,0,0,0,0,1,1,167,28.3858,76.9686
155,flat,godrej icon,sector 88a,1.65,9041.0,3.0,3,3,12.0,New Property,1652.0,0,0,0,0,0,2,60,28.4347,76.9557
156,flat,dlf the ultima,sector 81,2.28,10842.0,3.0,3,3+,14.0,Relatively New,1750.0,0,1,0,0,0,1,49,28.3867,76.9485
157,flat,dlf new town heights,sector 90,1.6,6768.0,4.0,4,3+,10.0,Relatively New,2139.0,0,1,0,1,0,2,88,28.4085,76.9369
158,flat,dlf regal gardens,sector 90,1.21,6926.0,3.0,3,3+,29.0,Relatively New,1581.0,0,0,0,0,1,2,95,28.4085,76.9369
159,flat,dlf regal gardens,sector 90,1.25,10417.0,3.0,3,3,18.0,Moderately Old,1437.0,0,1,0,0,0,2,100,28.4085,76.9369
160,flat,bestech park view residency,sector 2,0.98,6931.0,2.0,2,3,11.0,Moderately Old,1281.0,0,0,0,0,0,2,83,28.5095,77.032
161,flat,experion the heartsong,sector 108,0.93,6078.0,2.0,3,3,10.0,Relatively New,1161.0,0,0,0,0,0,2,81,28.5134,76.983
162,flat,smart world orchard,sector 61,2.24,14461.0,3.0,3,2,3.0,New Property,1402.0,0,0,0,0,1,2,61,28.405,77.0963
163,flat,kiran residency,sector 56,1.55,7750.0,3.0,3,3,5.0,Old Property,1810.0,0,1,0,0,0,0,52,28.4245,77.0991
164,flat,supertech araville,sector 79,0.78,6023.0,2.0,2,3+,17.0,Relatively New,1172.0,0,0,0,0,0,2,24,28.3624,76.9787
165,flat,la vida by tata housing,sector 113,1.93,12223.0,3.0,3,2,8.0,Under Construction,1429.0,0,0,0,0,0,2,71,28.5287,77.0233
166,flat,ats triumph,sector 104,2.6,8814.0,4.0,4,3+,16.0,Relatively New,3064.0,0,1,0,0,0,0,150,28.4788,76.996
167,house,experion windchants,sector 112,7.46,10260.0,4.0,4,3+,2.0,Relatively New,6350.0,0,1,0,1,0,0,62,28.5282,77.0176
168,flat,ambience creacions,sector 22,4.8,19200.0,4.0,6,3+,10.0,New Property,2778.0,0,1,0,1,0,1,49,28.5072,77.064
169,flat,experion the heartsong,sector 108,0.97,9238.0,2.0,2,3,10.0,Relatively New,1167.0,0,1,0,0,0,2,165,28.5134,76.983
170,flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2.0,2,2,12.0,Relatively New,828.0,0,0,0,0,0,2,100,28.475,76.9715
171,flat,dlf garden city floors,sector 92,1.7,8586.0,3.0,4,2,1.0,Under Construction,1475.0,0,0,0,0,0,2,63,28.4079,76.9153
172,house,independent,sector 26,6.75,27778.0,3.0,3,3,2.0,Moderately Old,2430.0,0,0,0,0,0,2,27,28.4757,77.1032
173,flat,dlf new town heights,sector 90,1.2,6218.0,3.0,3,3+,8.0,Moderately Old,2144.0,0,1,0,1,0,2,59,28.4085,76.9369
174,flat,shree vardhman victoria,sector 70,1.65,8462.0,3.0,5,3,6.0,Relatively New,1527.0,0,1,0,1,0,2,167,28.3944,77.0226
175,house,independent,sector 13,1.5,11538.0,2.5,7,3,4.0,Moderately Old,1300.0,0,0,0,0,0,2,0,28.4757,77.0392
176,flat,antriksh heights,sector 84,0.69,5111.0,2.0,2,3+,8.0,Relatively New,1222.0,1,0,0,0,0,2,59,28.3979,76.9736
177,flat,ss,sector 85,1.2,7151.0,2.0,2,3,15.0,Relatively New,1660.0,0,0,0,0,0,2,49,28.4042,76.9513
178,flat,apartment,sector 92,0.75,4688.0,3.0,4,3,2.0,Moderately Old,1778.0,1,0,0,0,0,2,113,28.4079,76.9153
179,flat,vatika city,sector 49,1.69,8622.0,3.0,3,3,3.0,Moderately Old,2178.0,0,0,0,1,0,2,136,28.4121,77.048
180,flat,ireo victory valley,sector 67,4.5,14098.0,4.0,4,3+,0.0,Relatively New,3160.0,0,1,0,1,0,0,42,28.3859,77.0608
181,house,unitech uniworld resorts,sector 33,8.5,17820.0,5.0,5,3+,3.0,New Property,4770.0,1,1,1,1,0,0,145,28.442,77.0207
182,flat,signature global solera,sector 107,0.4,6645.0,2.0,2,1,7.0,Relatively New,577.0,0,0,0,0,0,0,55,28.5052,76.9729
183,flat,hsiidc sidco aravali,manesar,0.9,3648.0,4.0,4,3,7.0,Moderately Old,2233.0,0,0,0,0,0,2,0,28.3515,76.9428
184,flat,residency grand,sector 52,5.0,7692.0,5.0,7,3+,1.0,Moderately Old,5778.0,0,1,0,1,0,2,77,28.4379,77.0785
185,flat,whiteland blissville,sector 76,1.9,11364.0,3.0,3,2,0.0,Under Construction,1513.0,0,0,0,0,0,2,61,28.3935,76.9888
186,flat,spaze privy at,sector 84,1.24,6465.0,3.0,3,3,8.0,Relatively New,1650.0,1,0,0,0,0,0,158,28.3979,76.9736
187,flat,central park flower valley,sector 33,1.4,21538.0,3.0,3,3,2.0,Under Construction,588.0,0,0,0,0,0,2,54,28.442,77.0207
188,flat,rof ananda,sector 95,0.46,6319.0,2.0,2,2,11.0,New Property,809.0,1,0,0,0,0,2,82,28.4172,76.9081
